charge,mass,radius,x,y,z
1,22.99,1.0,0.819375,0.819375,0.819375
-1,35.453,1.0,2.458125,2.458125,2.458125
1,22.99,1.0,0.819375,0.819375,4.096875
-1,35.453,1.0,2.458125,2.458125,5.735625
1,22.99,1.0,0.819375,0.819375,7.374375
-1,35.453,1.0,2.458125,2.458125,9.013124999999999
1,22.99,1.0,0.819375,0.819375,10.651875
-1,35.453,1.0,2.458125,2.458125,12.290624999999999
1,22.99,1.0,0.819375,4.096875,0.819375
-1,35.453,1.0,2.458125,5.735625,2.458125
1,22.99,1.0,0.819375,4.096875,4.096875
-1,35.453,1.0,2.458125,5.735625,5.735625
1,22.99,1.0,0.819375,4.096875,7.374375
-1,35.453,1.0,2.458125,5.735625,9.013124999999999
1,22.99,1.0,0.819375,4.096875,10.651875
-1,35.453,1.0,2.458125,5.735625,12.290624999999999
1,22.99,1.0,0.819375,7.374375,0.819375
-1,35.453,1.0,2.458125,9.013124999999999,2.458125
1,22.99,1.0,0.819375,7.374375,4.096875
-1,35.453,1.0,2.458125,9.013124999999999,5.735625
1,22.99,1.0,0.819375,7.374375,7.374375
-1,35.453,1.0,2.458125,9.013124999999999,9.013124999999999
1,22.99,1.0,0.819375,7.374375,10.651875
-1,35.453,1.0,2.458125,9.013124999999999,12.290624999999999
1,22.99,1.0,0.819375,10.651875,0.819375
-1,35.453,1.0,2.458125,12.290624999999999,2.458125
1,22.99,1.0,0.819375,10.651875,4.096875
-1,35.453,1.0,2.458125,12.290624999999999,5.735625
1,22.99,1.0,0.819375,10.651875,7.374375
-1,35.453,1.0,2.458125,12.290624999999999,9.013124999999999
1,22.99,1.0,0.819375,10.651875,10.651875
-1,35.453,1.0,2.458125,12.290624999999999,12.290624999999999
1,22.99,1.0,4.096875,0.819375,0.819375
-1,35.453,1.0,5.735625,2.458125,2.458125
1,22.99,1.0,4.096875,0.819375,4.096875
-1,35.453,1.0,5.735625,2.458125,5.735625
1,22.99,1.0,4.096875,0.819375,7.374375
-1,35.453,1.0,5.735625,2.458125,9.013124999999999
1,22.99,1.0,4.096875,0.819375,10.651875
-1,35.453,1.0,5.735625,2.458125,12.290624999999999
1,22.99,1.0,4.096875,4.096875,0.819375
-1,35.453,1.0,5.735625,5.735625,2.458125
1,22.99,1.0,4.096875,4.096875,4.096875
-1,35.453,1.0,5.735625,5.735625,5.735625
1,22.99,1.0,4.096875,4.096875,7.374375
-1,35.453,1.0,5.735625,5.735625,9.013124999999999
1,22.99,1.0,4.096875,4.096875,10.651875
-1,35.453,1.0,5.735625,5.735625,12.290624999999999
1,22.99,1.0,4.096875,7.374375,0.819375
-1,35.453,1.0,5.735625,9.013124999999999,2.458125
1,22.99,1.0,4.096875,7.374375,4.096875
-1,35.453,1.0,5.735625,9.013124999999999,5.735625
1,22.99,1.0,4.096875,7.374375,7.374375
-1,35.453,1.0,5.735625,9.013124999999999,9.013124999999999
1,22.99,1.0,4.096875,7.374375,10.651875
-1,35.453,1.0,5.735625,9.013124999999999,12.290624999999999
1,22.99,1.0,4.096875,10.651875,0.819375
-1,35.453,1.0,5.735625,12.290624999999999,2.458125
1,22.99,1.0,4.096875,10.651875,4.096875
-1,35.453,1.0,5.735625,12.290624999999999,5.735625
1,22.99,1.0,4.096875,10.651875,7.374375
-1,35.453,1.0,5.735625,12.290624999999999,9.013124999999999
1,22.99,1.0,4.096875,10.651875,10.651875
-1,35.453,1.0,5.735625,12.290624999999999,12.290624999999999
